id,label,playoffs
1,HOU-1975,1
2,MIL-1975,0
3,DET-1975,1
4,CHI-1975,1
5,NOJ-1975,0
6,KCO-1975,1
7,LAL-1975,0
8,POR-1975,0
9,BOS-1975,1
10,PHO-1975,0
11,NYK-1975,1
12,GSW-1975,1
13,PHI-1975,0
14,CLE-1975,0
15,SEA-1975,1
16,ATL-1975,0
17,BUF-1975,1
18,WSB-1975,1
19,SEA-1976,1
20,LAL-1976,0
21,PHO-1976,1
22,BUF-1976,1
23,POR-1976,0
24,KCK-1976,0
25,BOS-1976,1
26,HOU-1976,0
27,NYK-1976,0
28,GSW-1976,1
29,CLE-1976,1
30,NOJ-1976,0
31,CHI-1976,0
32,WSB-1976,1
33,PHI-1976,1
34,MIL-1976,1
35,ATL-1976,0
36,DET-1976,1
37,BUF-1977,0
38,LAL-1977,1
39,PHO-1977,0
40,NYN-1977,0
41,BOS-1977,1
42,SEA-1977,0
43,ATL-1977,0
44,DET-1977,1
45,PHI-1977,1
46,KCK-1977,0
47,GSW-1977,1
48,NYK-1977,0
49,NOJ-1977,0
50,IND-1977,0
51,WSB-1977,1
52,CHI-1977,1
53,CLE-1977,1
54,MIL-1977,0
55,SAS-1977,1
56,POR-1977,1
57,DEN-1977,1
58,HOU-1977,1
59,BOS-1978,0
60,HOU-1978,0
61,LAL-1978,1
62,PHO-1978,1
63,KCK-1978,0
64,CHI-1978,0
65,NJN-1978,0
66,BUF-1978,0
67,NOJ-1978,0
68,WSB-1978,1
69,IND-1978,0
70,DET-1978,0
71,GSW-1978,0
72,NYK-1978,1
73,ATL-1978,1
74,MIL-1978,1
75,PHI-1978,1
76,CLE-1978,1
77,SAS-1978,1
78,SEA-1978,1
79,POR-1978,1
80,DEN-1978,1
81,LAL-1979,1
82,GSW-1979,0
83,PHO-1979,1
84,KCK-1979,1
85,BOS-1979,0
86,SEA-1979,1
87,NOJ-1979,0
88,WSB-1979,1
89,IND-1979,0
90,HOU-1979,1
91,NYK-1979,0
92,NJN-1979,1
93,DET-1979,0
94,MIL-1979,0
95,PHI-1979,1
96,DEN-1979,1
97,CLE-1979,0
98,POR-1979,1
99,SAS-1979,1
100,CHI-1979,0
101,ATL-1979,1
102,SDC-1979,0
103,LAL-1980,1
104,GSW-1980,0
105,PHO-1980,1
106,BOS-1980,1
107,CHI-1980,0
108,WSB-1980,1
109,SEA-1980,1
110,IND-1980,0
111,SDC-1980,0
112,HOU-1980,1
113,NJN-1980,0
114,SAS-1980,1
115,POR-1980,1
116,MIL-1980,1
117,DET-1980,0
118,PHI-1980,1
119,KCK-1980,1
120,UTA-1980,0
